path,name,suffix,size_bytes,readable,pages_or_samples,requires_ocr,manual_required,notes,text_chars,width,height,mode,format,dpi,exif_items,metadata_keys,frame_count,fps,duration_sec
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\2026年第八届中青杯全国大学生数学建模竞赛参赛细则.pdf,2026年第八届中青杯全国大学生数学建模竞赛参赛细则.pdf,.pdf,192834,True,3,False,False,,1935.0,,,,,,,,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\2026年第八届中青杯全国大学生数学建模竞赛论文模板.doc,2026年第八届中青杯全国大学生数学建模竞赛论文模板.doc,.doc,16471,True,,False,True,Word 模板文件；旧 .doc 需 Word COM 转换或人工复核,,,,,,,,,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\B题：AI生成内容的质量评估与参数优化.pdf,B题：AI生成内容的质量评估与参数优化.pdf,.pdf,155836,True,2,False,False,,1275.0,,,,,,,,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\中青杯全国大学生数学建模竞赛诚信参赛告知书.pdf,中青杯全国大学生数学建模竞赛诚信参赛告知书.pdf,.pdf,138422,True,1,False,False,,569.0,,,,,,,,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\1.png,1.png,.png,5486221,True,2730x1535,False,False,,,2730.0,1535.0,RGBA,PNG,"(96.012, 96.012)",0.0,dpi,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\2.png,2.png,.png,5044845,True,1773x2364,False,False,,,1773.0,2364.0,RGBA,PNG,"(96.012, 96.012)",0.0,dpi,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\3.png,3.png,.png,4421390,True,2048x2048,False,False,,,2048.0,2048.0,RGBA,PNG,"(96.012, 96.012)",0.0,dpi,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\4.png,4.png,.png,5620743,True,1536x2730,False,False,,,1536.0,2730.0,RGBA,PNG,"(96.012, 96.012)",0.0,dpi,,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\5.jpg,5.jpg,.jpg,1039345,True,2048x2048,False,False,,,2048.0,2048.0,RGB,JPEG,"(120, 120)",0.0,"dpi,jfif,jfif_density,jfif_unit,jfif_version",,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\6.jpg,6.jpg,.jpg,459828,True,2048x2048,False,False,,,2048.0,2048.0,RGB,JPEG,"(120, 120)",0.0,"dpi,jfif,jfif_density,jfif_unit,jfif_version",,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\7.jpg,7.jpg,.jpg,544822,True,2048x2048,False,False,,,2048.0,2048.0,RGB,JPEG,"(120, 120)",0.0,"dpi,jfif,jfif_density,jfif_unit,jfif_version",,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件1\8.jpg,8.jpg,.jpg,298720,True,2048x2048,False,False,,,2048.0,2048.0,RGB,JPEG,"(120, 120)",0.0,"dpi,jfif,jfif_density,jfif_unit,jfif_version",,,
D:\zhongqingb\B题：AI生成内容的质量评估与参数优化\附件2\车流视频.mp4,车流视频.mp4,.mp4,6691691,True,121 frames,False,False,,,1920.0,1080.0,,,,,,121.0,23.999999841322314,5.0416667
