frame_index,time_sec,sharpness_raw,sharpness_score,brightness_mean,contrast
0,0.0,466.0882492969226,0.8668165813269995,0.3003077947228274,0.1995510419190576
2,0.08333333388429752,459.6769441850994,0.8648674400585776,0.30516742314209633,0.20019135833363091
4,0.16666666776859504,447.8801884787356,0.8612090922823235,0.3038869523117889,0.19875730064074695
6,0.2500000016528926,455.5522987632887,0.8635990883787544,0.3056011861534737,0.19945550896812697
8,0.3333333355371901,467.0100169309532,0.8670946117861736,0.30406593439845075,0.1997188902953128
10,0.4166666694214876,468.4855077574279,0.8675385225772233,0.30595815177923025,0.19957939661802782
12,0.5000000033057852,468.2296514269334,0.8674616466477396,0.3044675925925926,0.19941158841337098
14,0.5833333371900826,466.770812949567,0.8670225139380664,0.3063478879206003,0.20075377125563568
16,0.6666666710743802,451.20649174805436,0.862250270991267,0.30614548535463565,0.20326818007737868
18,0.7500000049586777,439.336828256935,0.8584991355922172,0.3076228516097797,0.20356215797547184
20,0.8333333388429752,441.46723989763143,0.8591797922189055,0.30731206124425076,0.2039695337604788
22,0.9166666727272728,437.9378339019752,0.8580503697393341,0.3072560215444202,0.20356860568775578
24,1.0000000066115704,448.90755874461786,0.8615314945378654,0.3046261195836359,0.20269622318725733
26,1.0833333404958678,444.7009576817559,0.8602067127790408,0.30886338053740015,0.20524663530039702
28,1.1666666743801652,432.13578157001376,0.8561738076605897,0.31032661583151777,0.20672917154017195
30,1.250000008264463,434.60766559118275,0.8569763459348819,0.31042653110626967,0.2064982669848345
32,1.3333333421487603,448.9465681296201,0.8615437216817943,0.3089306765916243,0.20727183622773393
34,1.416666676033058,442.6177036951302,0.8595459985744726,0.311680797627693,0.20837683731836695
36,1.5000000099173554,455.0438617111888,0.8634419484206343,0.31036837327523603,0.20779100500179848
38,1.583333343801653,465.0857509237826,0.8665135767094775,0.3105706548051319,0.207138743716838
40,1.6666666776859504,478.3123753772291,0.8704598817914919,0.30863053740014523,0.20596980803243736
42,1.750000011570248,462.2335822544558,0.8656479320984451,0.31056072984749455,0.2052541568916562
44,1.8333333454545455,470.3076182841197,0.8680847948505614,0.30975832122972646,0.20479951244673897
46,1.9166666793388432,470.64556604789436,0.8681858800325994,0.31056336238198984,0.20467246126075406
48,2.000000013223141,472.6387432725099,0.8687805994849295,0.30958354514645364,0.20488838394587552
50,2.083333347107438,457.72672523148145,0.8642691582127341,0.3117766884531591,0.20608123003624448
52,2.1666666809917356,439.27673673887364,0.8584798889116504,0.31110300169450494,0.20620397413204428
54,2.2500000148760333,462.1967296676741,0.8656367123465127,0.31326092350520457,0.20767339198916332
56,2.3333333487603305,465.5634438764575,0.8666580403603003,0.3123136952311789,0.2087080791278314
58,2.416666682644628,459.4618174608958,0.864801568589763,0.31609428709755505,0.21016722286366513
60,2.500000016528926,460.56489706194753,0.865139004725979,0.3150675683853788,0.2100758457655724
62,2.5833333504132234,457.2569467973037,0.864124660975094,0.3161958363592351,0.2099924291307466
64,2.6666666842975206,444.20657834909883,0.860050197855897,0.3115348886468168,0.2074670218865464
66,2.7500000181818183,442.28669132373125,0.8594407307925558,0.3114912854030501,0.20483645358153302
68,2.833333352066116,441.20598845426576,0.8590965001097726,0.30916028201404017,0.20306909987895252
70,2.9166666859504136,445.5720271561476,0.8604820616004202,0.3079311909949165,0.20181729462906478
72,3.0000000198347108,450.0345220930855,0.8618843047762025,0.30561740498668605,0.20299611018098063
74,3.0833333537190084,432.63158864883405,0.8563351462479304,0.30936074800290486,0.20672201742775753
76,3.166666687603306,420.84431426611803,0.8524486242378834,0.30860593681917214,0.20624947858397547
78,3.2500000214876033,428.4596113468197,0.8549717670473993,0.30865068990559186,0.20709877368423948
80,3.333333355371901,432.39681574621824,0.8562587727489441,0.3078254962478819,0.20789608875043705
82,3.4166666892561985,419.53853413256365,0.8520114154100282,0.3095102275478092,0.20704613014124573
84,3.500000023140496,423.3791369998262,0.8532934980893336,0.3077647966594045,0.2061280220597035
86,3.5833333570247934,424.2351671979786,0.8535776793589709,0.30908203219559427,0.20570693249498506
88,3.666666690909091,440.25201557207123,0.8587919362820944,0.30661785887194387,0.20512697131146182
90,3.7500000247933887,435.5855048773052,0.8572925613338832,0.30803165093197776,0.20326341350391455
92,3.8333333586776863,444.7743622251157,0.8602299370265468,0.304581336238199,0.2006894806329469
94,3.9166666925619835,451.6607814319463,0.8623918751680513,0.3044550956184943,0.19907714388260564
96,4.000000026446282,458.70606530296214,0.8645699142416798,0.30264829944323407,0.19821894927572892
98,4.083333360330578,462.6129721069577,0.8657633852861756,0.30577541757443716,0.19891156355260844
100,4.166666694214876,460.5859359844154,0.8651454327702722,0.30715528927620434,0.20043113710138336
102,4.250000028099174,477.474817346584,0.8702132358204582,0.3094871701767126,0.2026875891124033
104,4.333333361983471,476.25938212728386,0.8698545427743112,0.30941409465020575,0.20446774053501882
106,4.416666695867769,443.05215770366556,0.8596840434857368,0.31162863108206246,0.20511773207627843
108,4.500000029752067,436.50330928444356,0.8575887188569575,0.3122078189300412,0.20594747714064118
110,4.583333363636364,442.1255293161651,0.8593894499712772,0.3123533042846768,0.20690907790818866
112,4.666666697520661,441.6808393560791,0.8592478554023094,0.3119453219559429,0.20954158355677904
114,4.750000031404959,444.36536781526263,0.8601004877494391,0.31423508230452674,0.21151671258715662
116,4.833333365289256,456.38684266397786,0.8638566374950992,0.3137210118615347,0.2119617147081588
118,4.916666699173554,453.89922370446584,0.8630875390628229,0.3141582546598886,0.21281290973822437
120,5.000000033057852,463.38724845464674,0.8659987146102919,0.31171299322198015,0.21281443245014453
